1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
249	-0.471157	17.999305	0.258185	0.033149	1.5
250	-0.486217	18.998963	0.251733	0.050736	3.1
251	-0.465540	19.994279	0.245621	0.021999	1.8
252	-0.473099	19.091818	0.251150	0.042383	1.6
253	-0.507063	18.189450	0.256933	0.031447	1.8
254	-0.477390	19.189450	0.250540	0.035198	1.6
255	-0.456756	18.326643	0.256036	0.074775	1.5
256	-0.452909	19.315935	0.249754	0.039616	1.5
257	-0.470007	18.416754	0.255451	0.024889	2.5
258	-0.466336	17.558949	0.261134	0.032936	1.9
259	-0.473792	16.817396	0.266254	0.048403	1.7
260	-0.467051	17.817396	0.259395	0.059836	2.1
261	-0.468195	16.914889	0.265570	0.079272	1.7
262	-0.480033	16.888771	0.265753	0.048513	1.6
263	-0.485513	17.888771	0.258919	0.032266	1.7
264	-0.476168	17.654650	0.260487	0.016506	1.9
265	-0.454666	18.576210	0.254422	0.073382	2.3
266	-0.445869	17.673702	0.260359	0.020292	1.8
267	-0.491667	16.771195	0.266580	0.050969	1.6
268	-0.469762	15.868687	0.273106	0.046383	1.8
269	-0.488183	14.966180	0.279959	0.047540	1.6
270	-0.477280	15.966180	0.272385	0.036616	1.6
271	-0.444542	16.966179	0.265211	0.043962	1.5
272	-0.474580	17.748235	0.259858	0.047061	1.8
273	-0.481639	16.845727	0.266055	0.057498	3.0
274	-0.471919	15.943220	0.272555	0.031377	2.4
275	-0.478983	15.040712	0.279380	0.034540	1.7
276	-0.490650	14.160470	0.286374	0.019030	1.6
277	-0.473938	13.258129	0.293917	0.041984	1.7
278	-0.501196	12.356092	0.301865	0.028921	1.7
279	-0.452275	13.274098	0.293780	0.026292	1.6
280	-0.486374	12.371595	0.301725	0.036667	2.5
281	-0.482881	13.371499	0.292948	0.024568	1.8
282	-0.497158	14.371497	0.284666	0.059929	1.8
283	-0.490956	15.364537	0.276892	0.038724	1.5
284	-0.465208	16.364537	0.269481	0.049907	1.7
285	-0.482881	15.462030	0.276152	0.024471	1.5
286	-0.493270	16.462030	0.268780	0.032879	2.1
287	-0.427456	17.374083	0.262392	0.045076	2.0
288	-0.482985	18.374083	0.255728	0.026748	2.1
289	-0.486093	19.246041	0.250187	0.029892	2.4
290	-0.452533	20.212828	0.244318	0.029088	2.0
291	-0.465523	19.496426	0.248640	0.029291	1.5
292	-0.447178	20.449405	0.242924	0.037357	1.6
293	-0.481154	19.547028	0.248330	0.036737	1.8
294	-0.492168	20.545755	0.242360	0.032561	1.5
295	-0.461996	21.545754	0.236664	0.033525	2.5
296	-0.489343	20.645120	0.241782	0.036043	2.6
297	-0.453593	21.645120	0.236113	0.073222	2.0
298	-0.476097	20.742612	0.241217	0.045920	1.9
299	-0.476687	19.840105	0.246548	0.041918	2.0
300	-0.484695	20.805033	0.240857	0.047344	1.8
301	-0.473620	19.902526	0.246172	0.020547	1.5
302	-0.455121	20.294652	0.243834	0.027728	1.9
303	-0.495736	19.402515	0.249218	0.034525	2.7
304	-0.476114	18.500008	0.254913	0.035126	2.3
305	-0.489032	18.042083	0.257902	0.029846	1.6
306	-0.486731	18.760734	0.253241	0.049143	1.6
307	-0.455202	17.858226	0.259123	0.035650	1.6
308	-0.469798	18.858226	0.252622	0.026316	1.6
309	-0.474620	18.083193	0.257631	0.049215	1.6
310	-0.469764	17.180686	0.263721	0.018705	2.0
311	-0.482294	16.279552	0.270096	0.043538	2.1
312	-0.472238	15.377056	0.276797	0.070739	1.6
313	-0.479423	14.474548	0.283839	0.036216	1.7
314	-0.497999	13.572041	0.291248	0.039709	1.7
315	-0.476644	13.025333	0.295928	0.028517	1.6
316	-0.479275	14.025332	0.287479	0.030334	1.6
317	-0.453757	15.025127	0.279501	0.057294	1.6
318	-0.435962	16.025127	0.271952	0.039376	1.5
319	-0.482387	17.025127	0.264800	0.012501	2.7
320	-0.481941	17.797658	0.259527	0.068606	1.7
321	-0.494367	16.898526	0.265684	0.043714	1.5
322	-0.467804	15.996018	0.272166	0.020159	1.5
323	-0.479974	15.117083	0.278789	0.047656	1.5
324	-0.475252	14.261207	0.285556	0.035993	2.1
325	-0.465549	14.752408	0.281633	0.019192	1.6
326	-0.465881	15.591709	0.275173	0.035457	1.6
327	-0.466794	14.689205	0.282131	0.032683	2.5
328	-0.465633	15.656000	0.274690	0.016198	2.0
329	-0.460596	14.756370	0.281602	0.030500	1.7
330	-0.495060	13.858560	0.288854	0.040206	1.5
331	-0.457255	12.956054	0.296532	0.027867	1.5
332	-0.486262	13.949211	0.288105	0.044133	2.0
333	-0.464530	14.949194	0.280091	0.034960	1.6
334	-0.479590	15.820952	0.273460	0.019449	1.7
335	-0.492680	14.929555	0.280244	0.039533	2.7
336	-0.441955	14.027264	0.287463	0.054557	1.7
337	-0.487735	13.124775	0.295066	0.040160	1.5
338	-0.457807	14.124775	0.286665	0.057589	1.6
339	-0.497625	13.222267	0.294225	0.042259	1.7
340	-0.466436	12.319760	0.302194	0.013903	1.7
341	-0.471283	13.311291	0.293462	0.035442	1.5
342	-0.487673	12.900251	0.297020	0.049294	1.5
343	-0.467312	11.997752	0.305143	0.028533	2.9
344	-0.489056	12.096684	0.304231	0.070341	1.7
345	-0.493859	11.194177	0.312760	0.039562	1.5
346	-0.495648	10.291669	0.321780	0.023760	1.9
347	-0.477679	11.291052	0.311822	0.015597	1.8
348	-0.477496	10.411160	0.320556	0.052800	2.0
349	-0.487750	9.508704	0.330039	0.053817	1.6
350	-0.487468	8.606197	0.340099	0.054955	1.7
351	-0.490540	7.703690	0.350793	0.049892	2.6
352	-0.500181	8.703690	0.338983	0.037587	1.8
353	-0.453135	9.703687	0.327943	0.022647	1.6
