1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
102	-0.465353	0.000000	0.806462	0.022679	1.9
103	-0.465821	0.000000	0.806462	0.031846	1.6
104	-0.450273	0.000000	0.806462	0.037301	1.5
105	-0.458258	0.000000	0.806462	0.020594	1.5
106	-0.460278	0.000000	0.806462	0.040388	1.7
107	-0.468059	0.000000	0.806462	0.036050	1.9
108	-0.461801	0.000000	0.806462	0.031773	1.8
109	-0.448285	0.000000	0.806462	0.021700	1.6
110	-0.462359	0.000000	0.806462	0.033098	1.5
111	-0.484948	0.000000	0.806462	0.030301	1.5
112	-0.482329	0.000000	0.806462	0.032389	1.8
113	-0.467680	0.000000	0.806462	0.031809	2.4
114	-0.494365	0.000000	0.806462	0.048676	1.8
115	-0.494984	0.000000	0.806462	0.030583	1.6
116	-0.461059	0.000000	0.806462	0.034081	1.5
117	-0.473209	0.000000	0.806462	0.035273	2.0
118	-0.480215	0.091788	0.802952	0.035156	1.6
119	-0.481401	0.000000	0.806462	0.008124	1.5
120	-0.484175	0.000000	0.806462	0.024930	1.5
121	-0.492133	0.000000	0.806462	0.017126	2.2
122	-0.488617	0.000000	0.806462	0.037959	2.2
123	-0.463841	0.000000	0.806462	0.030027	1.6
124	-0.476033	0.000000	0.806462	0.023291	1.5
125	-0.500789	0.000000	0.806462	0.040167	2.0
126	-0.489471	0.000000	0.806462	0.049686	1.8
127	-0.466751	0.000000	0.806462	0.036911	1.9
128	-0.475745	0.000000	0.806462	0.027798	1.6
129	-0.491542	0.000000	0.806462	0.044592	2.1
130	-0.477383	0.990717	0.770130	0.034795	1.7
131	-0.468835	1.988656	0.736698	0.034628	1.7
132	-0.473998	1.634682	0.748219	0.019620	1.6
133	-0.487206	1.280712	0.760106	0.030566	1.8
134	-0.487869	0.929682	0.772273	0.021871	1.8
135	-0.498515	0.576676	0.784908	0.013750	1.6
136	-0.473185	0.974895	0.770684	0.023623	1.7
137	-0.456646	1.342913	0.757990	0.054793	1.9
138	-0.479676	0.988939	0.770192	0.033744	1.7
139	-0.478132	0.634965	0.782793	0.035611	1.6
140	-0.496491	0.280992	0.795814	0.030835	1.6
141	-0.475304	0.000000	0.806462	0.029381	2.3
142	-0.483910	0.000000	0.806462	0.019874	1.9
143	-0.470713	0.000000	0.806462	0.037747	1.6
144	-0.485440	0.000000	0.806462	0.033889	2.6
145	-0.462436	0.000000	0.806462	0.030906	1.9
146	-0.487481	0.000000	0.806462	0.033640	1.6
147	-0.474353	0.000000	0.806462	0.031068	1.5
148	-0.484471	0.000000	0.806462	0.021275	1.7
149	-0.486828	0.000000	0.806462	0.018090	1.7
150	-0.505827	0.000000	0.806462	0.028797	2.1
151	-0.484391	0.000000	0.806462	0.043351	2.0
152	-0.469096	0.000000	0.806462	0.055858	1.6
153	-0.513960	0.000000	0.806462	0.038026	1.5
154	-0.488821	0.000000	0.806462	0.037189	1.5
155	-0.484286	0.000000	0.806462	0.035496	1.9
156	-0.516000	0.000000	0.806462	0.029513	1.9
157	-0.498291	0.000000	0.806462	0.048942	1.8
158	-0.480444	0.000000	0.806462	0.038489	1.5
159	-0.477907	0.000000	0.806462	0.032094	1.8
160	-0.500134	0.000000	0.806462	0.058378	2.1
161	-0.479210	0.000000	0.806462	0.041645	1.8
162	-0.473765	0.000000	0.806462	0.045775	1.6
163	-0.496896	1.000000	0.769805	0.034461	1.6
164	-0.490327	2.000000	0.736335	0.032585	1.7
165	-0.488348	1.646179	0.747839	0.013065	2.1
166	-0.516896	2.384359	0.724232	0.025199	1.8
167	-0.486516	2.555341	0.718975	0.028907	2.5
168	-0.502707	3.541556	0.690083	0.027320	2.6
169	-0.479374	3.187590	0.700181	0.023049	2.1
170	-0.505006	3.707524	0.685447	0.021812	2.0
171	-0.462736	4.622936	0.660959	0.025067	2.4
172	-0.481955	4.269568	0.670201	0.031053	3.7
173	-0.514509	5.260551	0.644910	0.016052	2.4
174	-0.502788	4.907921	0.653688	0.031080	2.4
175	-0.479425	4.556145	0.662686	0.016368	1.7
176	-0.472633	4.440121	0.665708	0.015933	1.8
177	-0.483390	4.149009	0.673414	0.039125	1.9
178	-0.506307	3.795062	0.683027	0.037427	2.0
179	-0.472901	3.442806	0.692871	0.030135	2.1
180	-0.474722	4.370749	0.667529	0.018033	2.0
181	-0.511415	4.016781	0.676974	0.028228	3.7
182	-0.465973	3.664037	0.686656	0.011182	2.2
183	-0.485425	3.926049	0.679438	0.039711	2.3
184	-0.488550	4.913876	0.653538	0.030805	1.9
185	-0.491325	4.559903	0.662589	0.024580	2.2
186	-0.498071	4.206300	0.671884	0.010256	2.2
187	-0.527063	5.074575	0.649510	0.017531	2.3
188	-0.513162	5.336016	0.643062	0.036220	1.6
189	-0.477429	5.506331	0.638930	0.022911	1.8
190	-0.499080	5.152357	0.647578	0.027023	2.5
191	-0.498699	4.970506	0.652113	0.021629	1.7
192	-0.474090	5.271913	0.644631	0.016780	1.5
193	-0.517446	6.221990	0.622133	0.024188	1.5
194	-0.496976	7.212103	0.600299	0.034141	1.7
195	-0.488335	6.862920	0.607822	0.036520	1.5
196	-0.494551	6.508947	0.615643	0.046648	1.6
197	-0.474546	6.155242	0.623662	0.026085	1.6
198	-0.498893	5.801365	0.631897	0.021094	3.4
199	-0.479851	5.447921	0.640341	0.037493	4.5
200	-0.479645	5.094127	0.649023	0.039091	2.2
201	-0.494889	5.855788	0.630616	0.020637	1.7
202	-0.466465	5.501814	0.639039	0.020247	1.5
203	-0.471988	5.148091	0.647684	0.025509	2.3
204	-0.462948	6.147298	0.623845	0.014604	2.0
205	-0.517531	5.847910	0.630801	0.041540	1.8
206	-0.495689	6.845310	0.608207	0.024539	1.6
207	-0.501491	6.491336	0.616038	0.026205	1.6
208	-0.469986	6.137365	0.624073	0.020355	1.8
209	-0.507117	5.946276	0.628499	0.018657	1.6
210	-0.516743	6.528670	0.615202	0.019665	2.4
211	-0.486627	6.212323	0.622354	0.046234	2.3
212	-0.471440	7.211505	0.600312	0.040219	1.7
213	-0.496505	6.857532	0.607940	0.025290	1.6
214	-0.455474	6.503558	0.615764	0.029215	1.6
215	-0.497534	6.149585	0.623792	0.029310	1.6
216	-0.492020	5.795611	0.632033	0.027896	1.8
217	-0.508868	5.441638	0.640494	0.030382	1.7
218	-0.492743	5.127307	0.648199	0.019933	2.2
219	-0.478771	4.773411	0.657100	0.022382	2.2
220	-0.501251	4.462524	0.665123	0.021468	1.9
221	-0.477806	4.393074	0.666942	0.033809	2.2
222	-0.523887	4.039232	0.676367	0.038343	1.8
223	-0.492564	3.685258	0.686065	0.020161	1.6
224	-0.501456	3.332643	0.696007	0.032801	1.8
225	-0.485765	3.190413	0.700100	0.040870	2.9
226	-0.503077	2.836440	0.710496	0.026067	2.3
227	-0.470677	2.482466	0.721206	0.036026	1.6
228	-0.506711	2.128492	0.732244	0.037449	1.6
229	-0.516421	1.774520	0.743625	0.050134	1.5
230	-0.505337	1.470846	0.753674	0.035214	1.5
231	-0.480129	1.116873	0.765737	0.016495	2.1
232	-0.483945	0.763200	0.778181	0.034772	2.2
233	-0.484431	0.436773	0.790030	0.029792	2.4
234	-0.507513	0.082800	0.803295	0.052399	2.3
235	-0.509444	0.000000	0.806462	0.031135	2.0
236	-0.525366	0.999958	0.769806	0.023419	1.8
237	-0.485084	0.646962	0.782359	0.052259	1.6
238	-0.472974	0.293015	0.795364	0.024459	1.8
239	-0.472597	0.000000	0.806462	0.039115	2.1
240	-0.481886	0.000000	0.806462	0.030326	1.8
241	-0.523125	0.000000	0.806462	0.033118	1.9
242	-0.509226	0.000000	0.806462	0.040095	1.6
243	-0.503508	0.000000	0.806462	0.032066	2.0
244	-0.516017	0.000000	0.806462	0.023150	2.5
245	-0.495185	0.000000	0.806462	0.051791	1.8
246	-0.514244	0.000000	0.806462	0.034702	2.1
247	-0.486840	0.000000	0.806462	0.022726	1.8
248	-0.508285	0.998717	0.769850	0.042661	1.6
249	-0.489048	1.995566	0.736477	0.025778	2.0
250	-0.496044	1.704261	0.745926	0.042055	1.8
251	-0.489048	2.508033	0.720422	0.028225	1.6
252	-0.473513	3.476622	0.691913	0.021942	1.6
253	-0.511317	3.160819	0.700957	0.029127	1.6
254	-0.496859	3.333901	0.695971	0.018538	2.7
255	-0.544071	2.980066	0.706241	0.031123	1.7
256	-0.532542	3.978561	0.678009	0.015606	1.8
257	-0.508343	4.629646	0.660786	0.027011	1.7
258	-0.492586	4.864245	0.654792	0.048159	2.4
259	-0.511912	4.510272	0.663878	0.038526	1.6
260	-0.514332	4.156299	0.673219	0.026452	1.6
261	-0.536484	5.156298	0.647481	0.024497	2.2
262	-0.531090	4.805547	0.656281	0.030218	1.8
263	-0.531781	5.805136	0.631808	0.065071	1.6
264	-0.501861	5.451163	0.640263	0.020335	2.0
